Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,16.400000,18.400000,16.049999,18.250000,18.250000,8247400
2017-04-01,18.350000,18.799999,16.750000,18.200001,18.200001,6255000
2017-05-01,18.200001,19.799999,17.450001,18.150000,18.150000,7353900
2017-06-01,18.150000,19.250000,16.690001,19.150000,19.150000,4565600
2017-07-01,19.100000,19.250000,16.930000,17.600000,17.600000,4027400
2017-08-01,16.049999,17.750000,15.530000,16.350000,16.350000,6756400
2017-09-01,16.400000,17.299999,16.000000,16.900000,16.900000,3926000
2017-10-01,16.900000,17.379999,12.400000,13.000000,13.000000,7769000
2017-11-01,12.900000,13.600000,12.250000,13.100000,13.100000,9536500
2017-12-01,13.100000,14.600000,12.550000,13.350000,13.350000,6757000
2018-01-01,13.450000,13.850000,12.350000,12.850000,12.850000,7752900
2018-02-01,12.850000,13.050000,11.350000,11.850000,11.850000,5583100
2018-03-01,11.850000,13.700000,11.300000,13.450000,13.450000,10498400
2018-04-01,13.450000,15.350000,13.100000,14.550000,14.550000,5156000
2018-05-01,14.550000,17.200001,14.400000,14.950000,14.950000,6702000
2018-06-01,15.000000,16.750000,14.650000,15.700000,15.700000,5889900
2018-07-01,15.650000,15.850000,13.630000,14.250000,14.250000,3931000
2018-08-01,14.100000,15.350000,13.400000,14.650000,14.650000,4867900
2018-09-01,14.650000,14.750000,13.650000,13.950000,13.950000,3033700
2018-10-01,14.040000,14.100000,10.830000,12.230000,12.230000,6240200
2018-11-01,12.300000,13.870000,12.120000,12.910000,12.910000,4738100
2018-12-01,13.000000,13.290000,10.040000,10.900000,10.900000,5142500
2019-01-01,10.770000,11.830000,6.770000,7.510000,7.510000,13532500
2019-02-01,7.530000,8.440000,6.000000,6.530000,6.530000,11987700
2019-03-01,6.530000,6.830000,5.310000,5.560000,5.560000,8440000
2019-04-01,5.570000,5.950000,5.190000,5.350000,5.350000,4682000
2019-05-01,5.280000,5.550000,2.670000,2.690000,2.690000,12324600
2019-06-01,2.690000,2.880000,2.050000,2.210000,2.210000,13261200
2019-07-01,2.230000,2.410000,1.600000,1.930000,1.930000,15191600
2019-08-01,1.740000,1.810000,1.210000,1.390000,1.390000,10480200
2019-09-01,1.390000,1.870000,1.250000,1.350000,1.350000,25158300
2019-10-01,1.350000,2.100000,1.200000,1.650000,1.650000,20173500
2019-11-01,1.650000,1.800000,1.310000,1.440000,1.440000,8230200
2019-12-01,1.460000,2.050000,1.320000,1.750000,1.750000,13186500
2020-01-01,1.800000,4.160000,1.730000,3.180000,3.180000,24561600
2020-02-01,3.140000,4.000000,2.670000,3.220000,3.220000,12766800
2020-03-01,3.200000,3.260000,1.200000,2.610000,2.610000,25880200
2020-04-01,2.500000,6.850000,2.160000,6.490000,6.490000,45655200
2020-05-01,6.340000,6.790000,5.000000,6.110000,6.110000,26357200
2020-06-01,6.100000,9.780000,6.090000,9.270000,9.270000,36644900
2020-07-01,9.400000,11.590000,8.760000,10.430000,10.430000,23611600
2020-08-01,10.360000,15.910000,10.350000,11.850000,11.850000,37337700
2020-09-01,11.830000,18.260000,11.800000,17.160000,17.160000,72758700
2020-10-01,17.459999,27.650000,16.730000,21.690001,21.690001,49736500
2020-11-01,22.080000,28.430000,17.430000,21.100000,21.100000,60367800
2020-12-01,21.389999,22.360001,16.120001,18.139999,18.139999,49033600
2021-01-01,18.530001,25.180000,18.200001,24.510000,24.510000,35718700
2021-02-01,24.969999,31.379999,17.590000,18.410000,18.410000,48504200
2021-03-01,18.799999,21.850000,14.090000,15.640000,15.640000,46812000
2021-04-01,16.010000,17.969999,15.540000,16.760000,16.760000,20082400
2021-05-01,17.049999,18.590000,15.250000,18.010000,18.010000,23213100
2021-06-01,18.010000,18.250000,15.230000,16.850000,16.850000,14833300
2021-07-01,16.980000,17.080000,13.590000,14.450000,14.450000,12725200
2021-08-01,14.740000,15.210000,11.290000,11.400000,11.400000,25382300
2021-09-01,11.510000,11.850000,9.310000,9.310000,9.310000,16503600
2021-10-01,9.370000,11.300000,8.950000,10.230000,10.230000,15257500
2021-11-01,10.300000,11.400000,6.680000,6.850000,6.850000,25552600
2021-12-01,7.020000,7.480000,5.880000,6.130000,6.130000,17096200
2022-01-01,6.230000,6.470000,4.520000,5.100000,5.100000,16151400
2022-02-01,5.120000,6.050000,4.560000,5.580000,5.580000,10350300
2022-02-11,5.340000,5.630000,5.330700,5.580000,5.580000,905902
